SMILES,logkpl
C(=O)(N)N,-3.73
C(C(C(C(C(CO)O)O)O)O)O,-4.354615384615385
C(C(CO)O)O,-3.79
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-4.5128571428571425
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,-4.574999999999999
C1=C(C(=O)NC(=O)N1)F,-4.670869565217391
C1=C(C=C(C(=C1Cl)O)Cl)Cl,-1.23
C1=C(C=C(C=C1O)O)O,-2.51
C1=CC(=C(C(=C1)O)O)O,-2.81
C1=CC(=C(C=C1Cl)Cl)O,-1.162
C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,-1.9949999999999999
C1=CC(=C(C=C1N)[N+](=O)[O-])O,-4.07
C1=CC(=C(C=C1O)O)O,-3.9
C1=CC(=C(C=C1O)[N+](=O)[O-])N,-2.2
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,-1.54
C1=CC(=CC(=C1)O)O,-2.8674999999999997
C1=CC(=CC(=C1)O)[N+](=O)[O-],-2.25
C1=CC(=CC=C1C(=O)CCl)Cl,-1.3
C1=CC(=CC=C1CC(=O)N)O,-3.35
C1=CC(=CC=C1CO)O,-2.7
C1=CC(=CC=C1N)N,-3.62
C1=CC(=CC=C1N=C=O)Br,-1.795
C1=CC(=CC=C1O)Br,-1.44
C1=CC(=CC=C1O)Cl,-1.45
C1=CC(=CC=C1O)O,-3.075
C1=CC(=CC=C1[N+](=O)[O-])O,-2.25
C1=CC=C(C(=C1)C(=O)O)O,-2.19
C1=CC=C(C(=C1)C(=O)O)[O-],-3.966666666666667
C1=CC=C(C(=C1)N)N,-3.35
C1=CC=C(C(=C1)O)Cl,-1.48
C1=CC=C(C(=C1)O)O,-2.51
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,-1.1949999999999998
C1=CC=C(C=C1)C(=O)O,-1.7133333333333336
C1=CC=C(C=C1)C=CC=O,-1.4649999999999999
C1=CC=C(C=C1)C=CCO,-1.51
C1=CC=C(C=C1)CBr,-1.72
C1=CC=C(C=C1)CCCCCO,-0.95
C1=CC=C(C=C1)CCCCO,-1.08
C1=CC=C(C=C1)CCO,-1.69
C1=CC=C(C=C1)CO,-2.22
C1=CC=C(C=C1)O,-2.415
C1=CC=C2C(=C1)C=CC=C2O,-1.5550000000000002
C1=CC=C2C=C(C=CC2=C1)O,-1.375
C1=CC=C2C=CC=CC2=C1,-1.665
C1=CC=CC=C1,-0.875
C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,-2.67
C1CNP(=O)(OC1)N(CCCl)CCCl,-2.725
CC(=CCCC(=CCO)C)C,-1.0
CC(=O)C1(CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O,-3.22
CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,-3.22
CC(=O)C1=CC=CC=C1,-1.595
CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,-2.82
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,-1.9259999999999997
CC(=O)C=CC1=CC=CC=C1,-1.2650000000000001
CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,-1.135
CC(=O)O,-2.778
CC(C(C)O)O,-4.3
CC(C)(C)C1=CC=CC=C1O,-1.13
CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,-4.1
CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,-3.5549999999999997
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-3.9762500000000003
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,-3.97
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,-3.52
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,-3.7
CC(C)NCC(COC1=CC=CC=C1CC=C)O,-2.79
CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,-4.055
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,-5.4
CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,-4.33
CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,-4.41
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,-3.8383333333333334
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,-3.2
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.521774193548387
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,-4.39
CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,-4.4
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,-2.44
CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,-3.35
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.5315625
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-2.273529411764706
CC1=C(C=C(C=C1)C(C)C)O,-1.25
CC1=C(C=C(C=C1)O)C,-1.44
CC1=C(C=CC(=C1)O)Cl,-1.5200000000000002
CC1=CC(=C(C=C1)C(C)C)O,-1.245
