SMILES,Texpi,logkpl
C(=O)(N)N,300,-3.69
C(=O)(N)N,310,-3.774
C(=O)(N)N,312,-3.55
C(C(C(C(C(CO)O)O)O)O)O,298,-3.97
C(C(C(C(C(CO)O)O)O)O)O,300,-4.19
C(C(C(C(C(CO)O)O)O)O)O,303,-4.0
C(C(C(C(C(CO)O)O)O)O)O,304,-4.77
C(C(C(C(C(CO)O)O)O)O)O,305,-4.726666666666667
C(C(C(C(C(CO)O)O)O)O)O,310,-4.1825
C(C(C(C(C(CO)O)O)O)O)O,312,-4.0
C(C(CO)O)O,310,-3.79
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,298,-5.28
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310,-4.385
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,310,-4.574999999999999
C1=C(C(=O)NC(=O)N1)F,305,-4.670869565217391
C1=C(C=C(C(=C1Cl)O)Cl)Cl,298,-1.23
C1=C(C=C(C=C1O)O)O,310,-2.51
C1=CC(=C(C(=C1)O)O)O,310,-2.81
C1=CC(=C(C=C1Cl)Cl)O,298,-1.22
C1=CC(=C(C=C1Cl)Cl)O,310,-1.1475
C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,305,-1.9949999999999999
C1=CC(=C(C=C1N)[N+](=O)[O-])O,305,-4.07
C1=CC(=C(C=C1O)O)O,310,-3.9
C1=CC(=C(C=C1O)[N+](=O)[O-])N,305,-2.2
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,305,-1.54
C1=CC(=CC(=C1)O)O,298,-3.62
C1=CC(=CC(=C1)O)O,305,-2.3899999999999997
C1=CC(=CC(=C1)O)O,310,-3.07
C1=CC(=CC(=C1)O)[N+](=O)[O-],298,-2.25
C1=CC(=CC=C1C(=O)CCl)Cl,305,-1.3
C1=CC(=CC=C1CC(=O)N)O,310,-3.35
C1=CC(=CC=C1CO)O,310,-2.7
C1=CC(=CC=C1N)N,305,-3.62
C1=CC(=CC=C1N=C=O)Br,305,-1.795
C1=CC(=CC=C1O)Br,298,-1.44
C1=CC(=CC=C1O)Cl,298,-1.45
C1=CC(=CC=C1O)O,303,-5.03
C1=CC(=CC=C1O)O,305,-2.16
C1=CC(=CC=C1O)O,310,-2.95
C1=CC(=CC=C1[N+](=O)[O-])O,298,-2.25
C1=CC=C(C(=C1)C(=O)O)O,310,-2.19
C1=CC=C(C(=C1)C(=O)O)[O-],305,-3.966666666666667
C1=CC=C(C(=C1)N)N,305,-3.35
C1=CC=C(C(=C1)O)Cl,298,-1.48
C1=CC=C(C(=C1)O)O,310,-2.51
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,305,-1.1949999999999998
C1=CC=C(C=C1)C(=O)O,308,-1.51
C1=CC=C(C=C1)C(=O)O,310,-2.12
C1=CC=C(C=C1)C=CC=O,305,-1.4649999999999999
C1=CC=C(C=C1)C=CCO,305,-1.51
C1=CC=C(C=C1)CBr,305,-1.72
C1=CC=C(C=C1)CCCCCO,310,-0.95
C1=CC=C(C=C1)CCCCO,310,-1.08
