Compound,logkpl,MLogP,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings5,nRings6,WPATH,WPOL,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,HybRatio,nAtom,nAromBond,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,ALogP,ALogp2,AMR,khs.sCH3,khs.dCH2,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.dsssP,khs.dS,khs.aaS,khs.ddssS,khs.sCl,khs.sBr,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,Fsp3,PetitjeanNumber,topoShape,bpol,VABC,ECCEN,VAdjMat,JPLogP,nAtomLC,nAcid,XLogP,apol,LipinskiFailures,Zagreb,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,nRotB,FMF,TopoPSA,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,tpsaEfficiency,nAtomP,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,fragC,Kier1,Kier2,Kier3,naAromAtom,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nB,MolIP
p-Nitrophenol; 4-nitrophenol,-2.2500000000000004,1.68,1.0,1.0,1.0,1.0,0.0,0.0,1.0,120.0,11.0,0.788675135,0.0,0.166666667,0.0,0.192386729,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,3.301927249,5.656854249,0.0,0.333333333,0.0,0.0,0.721124785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457,2.122849,35.0768,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69981818,16.02369745,-0.398358572,0.354419381,3.586848247,7.588763915,0.0,0.0,0.5,1.0,6.722035,115.8975133,88.0,4.321928095,1.361801609,3.0,0.0,1.508,17.399965,0.0,46.0,19.38570823,1.938570823,10.34479582,7.326862395,3.017933424,7.560477932,4.698377303,4.263968845,3.003322558,1.952529745,1.449135293,0.919957418,0.19245009,4.871969744,2.687202528,1.810784748,1.103006972,0.592172975,0.378558347,0.113423262,0.016037507,1.0,0.4,63.37,0.1126108,-0.01435555,-0.011461081,7.14e-05,-0.034736317,0.0,0.0,0.0,0.083333333,0.131445856,0.0,0.0,0.0,0.027777778,0.032064455,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.448688405,1.404193779,1.498266827,0.270261583,0.230758995,0.216893659,0.455810929,10.0,12.68338741,11.6051971,15.43520081,13.32491573,7.826641819,135.04,8.1,3.408284024,2.285714286,6.0,373.7775144,409.0118323,503.2559464,390.565769,173.6033164,10.0,8.519901253
Benzyl bromide,-1.8920273597686492,2.12,1.0,1.0,1.0,1.0,0.0,0.0,1.0,64.0,7.0,0.204124145,0.0,0.0,0.0,0.11785113,0.0,0.0,0.0,0.142857143,15.0,6.0,0.0,0.0,0.0,0.0,7.732315986,3.965406457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5746,6.62856516,38.9084,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.69502694,78.91851801,-0.358759046,0.263857994,6.49205479,9.129418552,0.0,0.142857143,0.4,0.666666667,8.942449,117.7461353,60.0,4.0,2.782080803,2.0,0.0,2.823,20.037551,0.0,34.0,15.69266546,1.961583183,2.452455045,0.0,0.0,5.819990956,3.931851653,2.912284135,2.302095141,1.595387957,1.105171716,0.348461713,0.144337567,6.057819139,3.652967143,2.179963634,1.644608388,0.940920621,0.538278752,0.199664271,0.089087081,1.0,0.4,0.0,0.033932017,-0.017359118,-0.000318,0.000642,6.72e-05,0.0,0.0,0.0,0.102062073,0.072168784,0.0,0.0,0.0,0.032075015,0.022680461,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.49279928,0.594861352,0.49279928,0.367537788,0.385112372,0.245025192,0.0,6.0,51.25809079,13.65267546,14.65267546,18.30535092,14.30535092,169.01,6.125,3.111111111,1.8,6.0,463.1750936,476.6529074,530.3164549,392.2806431,151.9745786,8.0,8.338537034
Benzyl bromide,-1.5451197935964611,2.12,1.0,1.0,1.0,1.0,0.0,0.0,1.0,64.0,7.0,0.204124145,0.0,0.0,0.0,0.11785113,0.0,0.0,0.0,0.142857143,15.0,6.0,0.0,0.0,0.0,0.0,7.732315986,3.965406457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5746,6.62856516,38.9084,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.69502694,78.91851801,-0.358759046,0.263857994,6.49205479,9.129418552,0.0,0.142857143,0.4,0.666666667,8.942449,117.7461353,60.0,4.0,2.782080803,2.0,0.0,2.823,20.037551,0.0,34.0,15.69266546,1.961583183,2.452455045,0.0,0.0,5.819990956,3.931851653,2.912284135,2.302095141,1.595387957,1.105171716,0.348461713,0.144337567,6.057819139,3.652967143,2.179963634,1.644608388,0.940920621,0.538278752,0.199664271,0.089087081,1.0,0.4,0.0,0.033932017,-0.017359118,-0.000318,0.000642,6.72e-05,0.0,0.0,0.0,0.102062073,0.072168784,0.0,0.0,0.0,0.032075015,0.022680461,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.49279928,0.594861352,0.49279928,0.367537788,0.385112372,0.245025192,0.0,6.0,51.25809079,13.65267546,14.65267546,18.30535092,14.30535092,169.01,6.125,3.111111111,1.8,6.0,463.1750936,476.6529074,530.3164549,392.2806431,151.9745786,8.0,8.338537034
Benzyl alcohol,-2.222059991327963,2.12,1.0,1.0,1.0,1.0,0.0,0.0,1.0,64.0,7.0,0.204124145,0.0,0.0,0.0,0.11785113,0.0,0.0,0.0,0.142857143,16.0,6.0,0.0,0.0,0.0,0.0,7.732315986,3.965406457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2255,1.50185025,32.8739,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69497049,15.99794627,-0.418284111,0.266264152,4.267447475,7.79974928,0.0,0.142857143,0.4,0.666666667,8.745656,107.252743,60.0,4.0,1.388484388,2.0,0.0,1.211,18.456344,0.0,34.0,15.69266546,1.961583183,2.452455045,2.452455045,0.0,5.819990956,3.931851653,2.912284135,2.302095141,1.595387957,1.105171716,0.348461713,0.144337567,4.541071723,2.580464759,1.643712443,1.025398848,0.583419827,0.331875572,0.08049734,0.020286021,1.0,0.375,20.23,0.090272721,-0.042806891,-0.003064499,0.000628,0.000103,0.0,0.0,0.0,0.102062073,0.072168784,0.0,0.0,0.0,0.032075015,0.022680461,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.49279928,0.594861352,0.49279928,0.188787391,0.178709192,0.125858261,0.187215114,6.0,8.774469036,8.332091977,9.332091977,7.664183954,3.664183954,200.01,6.125,3.111111111,1.8,6.0,343.6479622,360.6568574,405.171149,284.5393128,96.66756596,8.0,8.556987069
2-Ethylhexyl acrylate,-1.8243453715551945,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,13.0,0.49279928,0.0,0.0,0.0,0.252236668,0.0,0.0,0.0,0.727272727,33.0,0.0,0.414913267,4.996348854,1.598177131,0.0,5.23244964,5.195663785,0.0,0.333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7353,13.95246609,54.2836,2.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76656824,16.00987379,-0.377000247,0.400416699,4.210171328,8.985211843,0.0,0.727272727,0.444444444,0.8,24.73814,211.1198256,161.0,4.584962501,3.600296123,10.0,0.0,3.887,34.29986,0.0,50.0,24.49425281,1.884173293,5.388177438,5.388177438,0.0,10.10444801,6.239912065,4.507272495,3.307913757,1.76972934,1.256479295,0.815435234,0.301776695,8.713837806,5.032805284,3.250666192,2.171237254,1.157017797,0.742705094,0.379981996,0.099567865,8.0,0.0,26.3,0.272490263,-0.184559307,0.077317752,-0.02477938,-0.003457298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,1.0,0.0,0.98559856,0.898107889,0.845328523,0.499836428,0.474023321,0.399653534,0.142821201,5.0,14.54893807,12.99627593,14.77074497,14.66045989,11.99627593,868.02,13.0,8.591715976,7.100591716,0.0,588.8019778,590.0260294,630.0622464,602.270174,511.2593228,12.0,8.506996067
2-Ethylhexyl acrylate,-2.1128900732676494,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,13.0,0.49279928,0.0,0.0,0.0,0.252236668,0.0,0.0,0.0,0.727272727,33.0,0.0,0.414913267,4.996348854,1.598177131,0.0,5.23244964,5.195663785,0.0,0.333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7353,13.95246609,54.2836,2.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76656824,16.00987379,-0.377000247,0.400416699,4.210171328,8.985211843,0.0,0.727272727,0.444444444,0.8,24.73814,211.1198256,161.0,4.584962501,3.600296123,10.0,0.0,3.887,34.29986,0.0,50.0,24.49425281,1.884173293,5.388177438,5.388177438,0.0,10.10444801,6.239912065,4.507272495,3.307913757,1.76972934,1.256479295,0.815435234,0.301776695,8.713837806,5.032805284,3.250666192,2.171237254,1.157017797,0.742705094,0.379981996,0.099567865,8.0,0.0,26.3,0.272490263,-0.184559307,0.077317752,-0.02477938,-0.003457298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,1.0,0.0,0.98559856,0.898107889,0.845328523,0.499836428,0.474023321,0.399653534,0.142821201,5.0,14.54893807,12.99627593,14.77074497,14.66045989,11.99627593,868.02,13.0,8.591715976,7.100591716,0.0,588.8019778,590.0260294,630.0622464,602.270174,511.2593228,12.0,8.506996067
Cinnamyl alcohol,-1.4789034162109513,2.34,1.0,1.0,1.0,1.0,0.0,0.0,1.0,133.0,9.0,0.204124145,0.0,0.0,0.0,0.096225045,0.0,0.0,0.0,0.111111111,20.0,6.0,0.0,0.0,0.0,0.0,11.46750113,4.68730728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6933,2.86726489,43.1925,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68911382,15.9979468,-0.419119547,0.267955512,4.110848359,8.718960836,0.0,0.111111111,0.428571429,0.75,10.93207,139.2082535,107.0,4.321928095,1.889895871,4.0,0.0,1.813,23.30993,0.0,42.0,19.70454557,1.970454557,2.423773933,2.423773933,0.0,7.234204519,4.931851653,3.64626437,2.690670698,1.968614081,1.513420006,0.637136847,0.348461713,5.695772261,3.257168127,1.995626715,1.215282967,0.752937421,0.460175632,0.154571414,0.067858504,2.0,0.3,20.23,0.090146698,-0.043045666,-0.002446335,0.000365,4.95e-05,0.0,0.0,0.0,0.102062073,0.072168784,0.0,0.0,0.0,0.032075015,0.018518519,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.433012702,0.612372436,0.679412342,0.166666667,0.199658785,0.174040241,0.150887763,8.0,10.77446904,10.33209198,11.33209198,9.332091977,6.332091977,310.01,8.1,4.760330579,3.111111111,6.0,484.7222655,509.0034122,570.7977587,453.3692305,270.7087111,10.0,8.398332879
Cinnamyl alcohol,-1.5432991634942306,2.34,1.0,1.0,1.0,1.0,0.0,0.0,1.0,133.0,9.0,0.204124145,0.0,0.0,0.0,0.096225045,0.0,0.0,0.0,0.111111111,20.0,6.0,0.0,0.0,0.0,0.0,11.46750113,4.68730728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6933,2.86726489,43.1925,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68911382,15.9979468,-0.419119547,0.267955512,4.110848359,8.718960836,0.0,0.111111111,0.428571429,0.75,10.93207,139.2082535,107.0,4.321928095,1.889895871,4.0,0.0,1.813,23.30993,0.0,42.0,19.70454557,1.970454557,2.423773933,2.423773933,0.0,7.234204519,4.931851653,3.64626437,2.690670698,1.968614081,1.513420006,0.637136847,0.348461713,5.695772261,3.257168127,1.995626715,1.215282967,0.752937421,0.460175632,0.154571414,0.067858504,2.0,0.3,20.23,0.090146698,-0.043045666,-0.002446335,0.000365,4.95e-05,0.0,0.0,0.0,0.102062073,0.072168784,0.0,0.0,0.0,0.032075015,0.018518519,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.433012702,0.612372436,0.679412342,0.166666667,0.199658785,0.174040241,0.150887763,8.0,10.77446904,10.33209198,11.33209198,9.332091977,6.332091977,310.01,8.1,4.760330579,3.111111111,6.0,484.7222655,509.0034122,570.7977587,453.3692305,270.7087111,10.0,8.398332879
p-Tolunitrile,-1.5107606235200577,2.23,1.0,1.0,1.0,1.0,0.0,0.0,1.0,90.0,9.0,0.49279928,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.142857143,16.0,6.0,0.0,1.769764598,1.0,0.0,4.883593419,6.597539554,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1951,4.81846401,36.8369,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68787248,14.05008594,-0.429853579,0.368166759,4.128226457,7.919120198,0.0,0.125,0.5,1.0,8.312449,121.4823437,77.0,4.169925001,2.096668462,2.0,0.0,2.182,19.847551,0.0,40.0,17.54959443,1.949954937,2.454688389,0.0,2.454688389,6.690234444,4.325698503,3.534145948,2.712778743,1.73736354,1.373773448,0.686886724,0.11785113,5.256614672,2.794974003,1.977828803,1.180666291,0.6280968,0.431605367,0.142117707,0.0124226,0.0,0.375,23.79,0.097116603,-0.026200133,-0.017870717,-0.007796388,0.000917,0.0,0.0,0.0,0.083333333,0.142258898,0.0,0.0,0.0,0.027777778,0.041666667,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.90104757,0.937443702,1.069035594,0.325942934,0.270704049,0.284408286,0.203232847,8.0,9.359980301,9.166181933,11.16618193,9.332363866,4.332363866,184.01,7.111111111,3.239669421,2.0,6.0,409.0898555,437.6886938,523.4846786,387.3103788,146.0326322,9.0,8.271842958
p-Tolunitrile,-1.343360498292811,2.23,1.0,1.0,1.0,1.0,0.0,0.0,1.0,90.0,9.0,0.49279928,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.142857143,16.0,6.0,0.0,1.769764598,1.0,0.0,4.883593419,6.597539554,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1951,4.81846401,36.8369,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68787248,14.05008594,-0.429853579,0.368166759,4.128226457,7.919120198,0.0,0.125,0.5,1.0,8.312449,121.4823437,77.0,4.169925001,2.096668462,2.0,0.0,2.182,19.847551,0.0,40.0,17.54959443,1.949954937,2.454688389,0.0,2.454688389,6.690234444,4.325698503,3.534145948,2.712778743,1.73736354,1.373773448,0.686886724,0.11785113,5.256614672,2.794974003,1.977828803,1.180666291,0.6280968,0.431605367,0.142117707,0.0124226,0.0,0.375,23.79,0.097116603,-0.026200133,-0.017870717,-0.007796388,0.000917,0.0,0.0,0.0,0.083333333,0.142258898,0.0,0.0,0.0,0.027777778,0.041666667,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.90104757,0.937443702,1.069035594,0.325942934,0.270704049,0.284408286,0.203232847,8.0,9.359980301,9.166181933,11.16618193,9.332363866,4.332363866,184.01,7.111111111,3.239669421,2.0,6.0,409.0898555,437.6886938,523.4846786,387.3103788,146.0326322,9.0,8.271842958
